Slice,Count,Total Area,Average Size,%Area,Mean,Mode,Perim.,Feret,FeretX,FeretY,FeretAngle,MinFeret,Dataset,Bounding_Box
c:2/2 - siControl_N20_Cep215_I_20110411_Mon-1459_0_SIR_PRJ.d,3,0.867,0.289,0.844,0,0,2.666,0.705,3.656,4.950,110.298,0.493,CDK5RAP2-C,1.864
c:2/2 - siControl_N20_Cep215_I_20110411_Mon-1501_0_SIR_PRJ.d,5,0.682,0.136,0.664,0,0,1.539,0.523,6.764,5.718,126.922,0.281,CDK5RAP2-C,1.191
c:2/2 - siControl_N20_Cep215_I_20110411_Mon-1503_0_SIR_PRJ.d,1,0.539,0.539,0.525,0,0,4.375,1.465,4.237,5.148,71.075,0.868,CDK5RAP2-C,1.469
c:2/2 - siControl_N20_Cep215_I_20110411_Mon-1509_0_SIR_PRJ.d,3,0.379,0.126,0.369,0,0,1.637,0.546,3.485,3.960,104.420,0.356,CDK5RAP2-C,0.417
c:2/2 - Ctrl_Cep192_Cent_20101014_Thu-1301_1_SIR_PRJ.dv,2,0.125,0.063,0.122,0,0,1.112,0.348,4.970,5.188,77.612,0.285,CENT2,0.157
c:2/2 - Ctrl_Cep192_Cent_20101014_Thu-1315_1_SIR_PRJ.dv,5,0.169,0.034,0.165,0,0,0.654,0.274,5.029,4.712,118.921,0.169,CENT2,0.099
c:2/2 - Ctrl_Cep192_Cent_20101014_Thu-1318_1_SIR_PRJ.dv,3,0.158,0.053,0.154,0,0,0.925,0.378,3.524,3.881,58.031,0.208,CENT2,0.127
c:2/2 - Ctrl_Cep192_Cent_20101014_Thu-1438_1_SIR_PRJ.dv,9,0.287,0.032,0.279,0,0,0.671,0.268,5.038,3.771,118.028,0.162,CENT2,0.183
c:2/2 - Ctrl_Cep192_Cent_20101014_Thu-1443_1_SIR_PRJ.dv,3,0.138,0.046,0.134,0,0,0.768,0.303,4.448,4.805,84.743,0.207,CENT2,0.094
c:2/2 - Ctrl_Cep192_Cent_20101014_Thu-1446_1_SIR_PRJ.dv,3,0.089,0.030,0.087,0,0,0.585,0.240,5.003,5.518,63.040,0.172,CENT2,0.039
c:2/2 - Ctrl_Cep192_Cent_20101014_Thu-1452_1_SIR_PRJ.dv,4,0.133,0.033,0.130,0,0,0.699,0.291,5.148,4.505,54.110,0.193,CENT2,0.066
c:2/2 - NEDD1_Centrin_003_SIR_PRJ.dv,7,0.158,0.023,0.154,0,0,0.549,0.224,5.383,6.038,82.085,0.149,CENT2,0.084
c:2/2 - NEDD1_Centrin_004_SIR_PRJ.dv,20,0.515,0.026,0.504,0,0,0.567,0.237,6.725,1.876,118.126,0.161,CENT2,0.109
c:2/2 - NEDD1_Centrin_006_SIR_PRJ.dv,11,0.248,0.023,0.243,0,0,0.536,0.218,5.577,1.957,121.459,0.160,CENT2,0.063
c:2/2 - NEDD1_Centrin_009_SIR_PRJ.dv,6,0.144,0.024,0.140,0,0,0.539,0.223,4.437,2.910,104.801,0.164,CENT2,0.075
c:2/2 - NEDD1_Centrin_010_SIR_PRJ.dv,3,0.089,0.030,0.087,0,0,0.619,0.280,3.674,6.610,100.177,0.164,CENT2,0.077
c:2/2 - NEDD1_Centrin_012_SIR_PRJ.dv,8,0.234,0.029,0.229,0,0,0.616,0.260,4.409,3.930,115.951,0.169,CENT2,0.066
c:2/2 - NEDD1_Centrin_014_SIR_PRJ.dv,6,0.158,0.026,0.154,0,0,0.602,0.253,5.932,3.147,106.763,0.151,CENT2,0.063
c:2/2 - NEDD1_Centrin_016_SIR_PRJ.dv,5,0.179,0.036,0.175,0,0,0.740,0.311,6.462,4.701,112.976,0.165,CENT2,0.137
c:2/2 - NEDD1_Centrin_020_SIR_PRJ.dv,6,0.128,0.021,0.125,0,0,0.499,0.207,4.938,3.232,122.900,0.138,CENT2,0.031
c:2/2 - NEDD1_Centrin_026_SIR_PRJ.dv,19,0.438,0.023,0.429,0,0,0.536,0.221,5.270,4.840,112.956,0.152,CENT2,0.103
c:2/2 - NEDD1_Centrin_031_SIR_PRJ.dv,8,0.250,0.031,0.244,0,0,0.635,0.265,6.824,4.360,91.696,0.172,CENT2,0.112
c:2/2 - NEDD1_Centrin_043_SIR_PRJ.dv,5,0.133,0.027,0.130,0,0,0.581,0.242,3.057,4.179,138.931,0.157,CENT2,0.062
c:2/2 - NEDD1_Centrin_046_SIR_PRJ.dv,4,0.126,0.032,0.124,0,0,0.678,0.307,4.868,4.720,102.727,0.155,CENT2,0.084
c:2/2 - NEDD1_Centrin_048_SIR_PRJ.dv,16,0.526,0.033,0.514,0,0,0.642,0.265,3.604,5.468,122.135,0.174,CENT2,0.112
c:2/2 - NEDD1_Centrin_053_SIR_PRJ.dv,10,0.264,0.026,0.258,0,0,0.568,0.241,3.113,5.297,96.076,0.160,CENT2,0.125
c:1/2 - Cep120_gtub_001_SIR_PRJ.dv,2,0.212,0.106,0.208,0,0,1.207,0.444,6.261,3.851,102.627,0.336,CEP120/20111106,0.206
c:1/2 - Cep120_gtub_002_SIR_PRJ.dv,3,0.379,0.126,0.371,0,0,1.212,0.444,6.597,5.556,136.531,0.342,CEP120/20111106,0.244
c:1/2 - Cep120_gtub_007_SIR_PRJ.dv,3,0.187,0.062,0.183,0,0,0.915,0.319,3.055,5.714,108.448,0.243,CEP120/20111106,0.225
c:1/2 - Cep120_gtub_008_SIR_PRJ.dv,3,0.298,0.099,0.291,0,0,1.099,0.429,6.083,5.017,135.000,0.281,CEP120/20111106,0.281
c:1/2 - Cep120_gtub_009_SIR_PRJ.dv,2,0.197,0.098,0.192,0,0,1.086,0.404,5.056,5.846,140.152,0.316,CEP120/20111106,0.241
c:1/2 - Cep120_gtub_010_SIR_PRJ.dv,3,0.276,0.092,0.270,0,0,1.109,0.403,6.044,6.202,85.765,0.319,CEP120/20111106,0.244
c:1/2 - Cep120_gtub_015_SIR_PRJ.dv,1,0.240,0.240,0.235,0,0,1.940,0.680,3.950,5.688,35.538,0.539,CEP120/20111106,0.349
c:1/2 - Cep120_gtub_016_SIR_PRJ.dv,5,0.261,0.052,0.255,0,0,0.765,0.301,4.803,4.922,99.746,0.190,CEP120/20111106,0.264
c:1/2 - Cep120_gtub_020_SIR_PRJ.dv,3,0.181,0.060,0.177,0,0,0.842,0.349,5.978,5.201,127.556,0.224,CEP120/20111106,0.172
c:1/2 - Cep120_gtub_023_SIR_PRJ.dv,3,0.418,0.139,0.409,0,0,1.424,0.516,7.334,5.688,133.568,0.290,CEP120/20111106,0.562
