Slice,Count,Total Area,Average Size,%Area,Mean,Image
c:1/2 - Cep120_gtub_009_SIR_PRJ.dv,3,0.296,0.099,0.290,0,1884906
c:1/2 - Cep120_gtub_011_SIR_PRJ.dv,1,0.220,0.220,0.215,0,1884907
c:1/2 - Cep120_gtub_013_SIR_PRJ.dv,1,0.261,0.261,0.255,0,1884908
c:1/2 - Cep120_gtub_015_SIR_PRJ.dv,2,0.169,0.084,0.165,0,1884909
c:1/2 - Cep152_gtub_001_SIR_PRJ.dv,2,0.303,0.151,0.296,0,1884910
c:1/2 - Cep152_gtub_002_SIR_PRJ.dv,4,0.298,0.075,0.291,0,1884911
c:1/2 - Cep152_gtub_003_SIR_PRJ.dv,2,0.270,0.135,0.264,0,1884912
c:1/2 - Cep152_gtub_006_SIR_PRJ.dv,23,1.176,0.051,1.151,0,1884913
c:1/2 - Cep152_gtub_009_SIR_PRJ.dv,1,0.111,0.111,0.108,0,1884914
c:1/2 - Cep152_gtub_010_SIR_PRJ.dv,35,1.073,0.031,1.050,0,1884915
c:1/2 - Cep152_gtub_011_SIR_PRJ.dv,2,0.293,0.147,0.287,0,1884916
c:1/2 - Cep152_gtub_012_SIR_PRJ.dv,2,0.250,0.125,0.244,0,1884917
c:1/2 - Cep152_gtub_013_SIR_PRJ.dv,3,0.242,0.081,0.237,0,1884918
c:1/2 - Cep152_gtub_015_SIR_PRJ.dv,2,0.167,0.083,0.163,0,1884919
c:1/2 - Cep152_gtub_016_SIR_PRJ.dv,3,0.301,0.100,0.294,0,1884920
c:1/2 - Cep152_gtub_018_SIR_PRJ.dv,2,0.286,0.143,0.279,0,1884921
c:1/2 - Cep152_gtub_019_SIR_PRJ.dv,2,0.172,0.086,0.168,0,1884922
c:1/2 - Cep152_gtub_021_SIR_PRJ.dv,1,0.254,0.254,0.249,0,1884923
c:1/2 - Cep152_gtub_024_SIR_PRJ.dv,2,0.281,0.140,0.275,0,1884924
c:1/2 - Cep152_gtub_026_SIR_PRJ.dv,4,0.356,0.089,0.348,0,1884925
c:1/2 - Cep152_gtub_028_SIR_PRJ.dv,2,0.220,0.110,0.215,0,1884926
c:1/2 - Cep152_gtub_031_SIR_PRJ.dv,4,0.214,0.053,0.209,0,1884927
c:1/2 - Cep152_gtub_032_SIR_PRJ.dv,1,0.254,0.254,0.249,0,1884928
c:1/2 - Cep152_gtub_033_SIR_PRJ.dv,3,0.215,0.072,0.211,0,1884929
c:1/2 - JG_Cep152_gtub_001_SIR_PRJ.dv,2,0.192,0.096,0.188,0,1884930
c:1/2 - JG_Cep152_gtub_002_SIR_PRJ.dv,5,0.247,0.049,0.241,0,1884931
c:1/2 - JG_Cep152_gtub_003_SIR_PRJ.dv,3,0.203,0.068,0.198,0,1884932
c:1/2 - JG_Cep152_gtub_004_SIR_PRJ.dv,4,0.229,0.057,0.224,0,1884933
c:1/2 - JG_Cep152_gtub_005_SIR_PRJ.dv,2,0.271,0.136,0.266,0,1884934
c:1/2 - JG_Cep152_gtub_006_SIR_PRJ.dv,2,0.382,0.191,0.374,0,1884935
c:1/2 - JG_Cep152_gtub_007_SIR_PRJ.dv,11,0.335,0.030,0.328,0,1884936
c:1/2 - JG_Cep152_gtub_008_SIR_PRJ.dv,11,0.431,0.039,0.421,0,1884937
c:1/2 - JG_Cep152_gtub_009_SIR_PRJ.dv,4,0.169,0.042,0.165,0,1884938
c:1/2 - JG_Cep152_gtub_011_SIR_PRJ.dv,1,0.379,0.379,0.371,0,1884939
c:1/2 - JG_Cep152_gtub_014_SIR_PRJ.dv,3,0.339,0.113,0.331,0,1884940
c:1/2 - JG_Cep152_gtub_017_SIR_PRJ.dv,1,0.268,0.268,0.262,0,1884941
c:1/2 - JG_Cep152_gtub_018_SIR_PRJ.dv,4,0.304,0.076,0.298,0,1884942
c:1/2 - JG_Cep152_gtub_019_SIR_PRJ.dv,2,0.410,0.205,0.401,0,1884943
c:1/2 - JG_Cep152_gtub_020_SIR_PRJ.dv,21,0.897,0.043,0.877,0,1884944
c:1/2 - JG_Cep152_gtub_021_SIR_PRJ.dv,4,0.373,0.093,0.365,0,1884945
c:1/2 - JG_Cep152_gtub_022_SIR_PRJ.dv,2,0.367,0.183,0.359,0,1884946
c:1/2 - JG_Cep152_gtub_023_SIR_PRJ.dv,1,0.304,0.304,0.298,0,1884947
c:1/2 - JG_Cep152_gtub_024_SIR_PRJ.dv,4,0.279,0.070,0.273,0,1884948
c:1/2 - JG_Cep152_gtub_025_SIR_PRJ.dv,2,0.281,0.140,0.275,0,1884949
c:1/2 - JG_Cep152_gtub_027_SIR_PRJ.dv,2,0.175,0.087,0.171,0,1884950
c:1/2 - JG_Cep152_gtub_028_SIR_PRJ.dv,3,0.209,0.070,0.204,0,1884951
c:1/2 - JG_Cep152_gtub_030_SIR_PRJ.dv,2,0.275,0.137,0.269,0,1884952
c:1/2 - JG_Cep152_gtub_031_SIR_PRJ.dv,3,0.387,0.129,0.378,0,1884953
c:1/2 - JG_Cep152_gtub_032_SIR_PRJ.dv,3,0.237,0.079,0.232,0,1884954
c:1/2 - JG_Cep152_gtub_033_SIR_PRJ.dv,3,0.186,0.062,0.182,0,1884955
c:1/2 - JG_Cep152_gtub_034_SIR_PRJ.dv,4,0.215,0.054,0.211,0,1884956
c:1/2 - JG_Cep152_gtub_035_SIR_PRJ.dv,19,0.866,0.046,0.847,0,1884957
