Slice,Count,Total Area,Average Size,%Area,Mean,Image
c:1/3 - ALX_NEDD1_PCNT_20100521_Fri-1121_0_SIR_PRJ_615_525_x,32,177842140.000,5557566.875,2.180,0,1885077
c:1/3 - ALX_NEDD1_PCNT_20100521_Fri-1128_0_SIR_PRJ_615_525_x,8,59239228.500,7404903.562,0.726,0,1885078
c:1/2 - siCTRL_PCNT_NEDD1_20100507_Fri-1628_0_SIR_PRJ.dv,3,0.433,0.144,0.421,0,1885079
c:1/2 - siCTRL_PCNT_NEDD1_20100507_Fri-1637_0_SIR_PRJ.dv,2,0.554,0.277,0.539,0,1885080
c:1/2 - siCTRL_PCNT_NEDD1_20100507_Fri-1643_0_SIR_PRJ.dv,2,0.888,0.444,0.864,0,1885081
c:1/2 - siCTRL_PCNT_NEDD1_20100507_Fri-1702_0_SIR_PRJ.dv,8,0.786,0.098,0.764,0,1885082
c:1/2 - siCTRL_PCNT_NEDD1_20100507_Fri-1725_0_SIR_PRJ.dv,3,0.552,0.184,0.537,0,1885083
c:1/2 - siCTRL_PCNT_NEDD1_20100507_Fri-1732_0_SIR_PRJ.dv,3,0.497,0.166,0.484,0,1885084
c:1/2 - siCTRL_PCNT_NEDD1_20100507_Fri-1737_0_SIR_PRJ.dv,2,0.648,0.324,0.630,0,1885085
c:1/2 - siCTRL_PCNT_NEDD1_20100507_Fri-1743_0_SIR_PRJ.dv,4,0.547,0.137,0.533,0,1885086
c:1/2 - siCTRL_PCNT_NEDD1_20100507_Fri-1747_0_SIR_PRJ.dv,3,0.387,0.129,0.377,0,1885087
c:1/2 - N20_PCNTab_ctrl_20110618_Sat-1400_0_SIR_PRJ.dv,2,0.447,0.223,0.435,0,1885088
c:1/2 - N20_PCNTab_ctrl_20110618_Sat-1403_0_SIR_PRJ.dv,1,0.546,0.546,0.531,0,1885089
c:1/2 - N20_PCNTab_ctrl_20110618_Sat-1407_0_SIR_PRJ.dv,4,0.517,0.129,0.504,0,1885090
c:1/2 - N20_PCNTab_ctrl_20110618_Sat-1414_0_SIR_PRJ.dv,2,0.552,0.276,0.537,0,1885091
c:1/2 - N20_PCNTab_ctrl_20110618_Sat-1459_0_SIR_PRJ.dv,2,0.433,0.216,0.421,0,1885092
c:1/2 - N20_PCNTab_ctrl_20110618_Sat-1504_0_SIR_PRJ.dv,4,0.434,0.109,0.423,0,1885093
c:1/2 - N20_PCNTab_ctrl_20110618_Sat-1510_0_SIR_PRJ.dv,3,0.613,0.204,0.597,0,1885094
c:1/2 - N20_PCNTab_ctrl_20110618_Sat-1516_0_SIR_PRJ.dv,3,0.582,0.194,0.566,0,1885095
c:1/2 - PCNT_gtub_I_003_SIR_PRJ.dv,3,0.569,0.190,0.557,0,1885096
c:1/2 - PCNT_gtub_I_004_SIR_PRJ.dv,7,0.646,0.092,0.632,0,1885097
c:1/2 - PCNT_gtub_I_005_SIR_PRJ.dv,3,0.545,0.182,0.533,0,1885098
c:1/2 - PCNT_gtub_I_007_SIR_PRJ.dv,8,0.571,0.071,0.558,0,1885099
c:1/2 - PCNT_gtub_I_010_SIR_PRJ.dv,4,0.585,0.146,0.572,0,1885100
c:1/2 - PCNT_gtub_I_011_SIR_PRJ.dv,2,0.599,0.300,0.586,0,1885101
c:1/2 - PCNT_gtub_I_015_SIR_PRJ.dv,4,0.604,0.151,0.591,0,1885102
c:1/2 - PCNT_gtub_I_017_SIR_PRJ.dv,5,0.488,0.098,0.478,0,1885103
c:1/2 - PCNT_gtub_I_018_SIR_PRJ.dv,2,0.473,0.236,0.462,0,1885104
c:1/2 - PCNT_gtub_I_019_SIR_PRJ.dv,7,0.672,0.096,0.658,0,1885105
c:1/2 - PCNT_gtub_I_020_SIR_PRJ.dv,3,0.560,0.187,0.548,0,1885106
c:1/2 - PCNT_gtub_I_023_SIR_PRJ.dv,3,0.515,0.172,0.504,0,1885107
c:1/2 - PCNT_gtub_I_024_SIR_PRJ.dv,9,1.570,0.174,1.535,0,1885108
c:1/2 - PCNT_gtub_I_025_SIR_PRJ.dv,4,0.504,0.126,0.493,0,1885109
c:1/2 - PCNT_gtub_I_031_SIR_PRJ.dv,2,0.738,0.369,0.722,0,1885110
c:1/2 - PCNT_gtub_I_032_SIR_PRJ.dv,2,0.663,0.332,0.648,0,1885111
c:1/2 - PCNT_gtub_I_035_SIR_PRJ.dv,4,0.643,0.161,0.629,0,1885112
c:1/2 - PCNT_gtub_I_039_SIR_PRJ.dv,3,0.348,0.116,0.340,0,1885113
c:1/2 - PCNT_gtub_I_041_SIR_PRJ.dv,4,0.568,0.142,0.555,0,1885114
c:1/2 - PCNT_gtub_I_042_SIR_PRJ.dv,2,0.367,0.183,0.359,0,1885115
c:1/2 - PCNT_gtub_I_044_SIR_PRJ.dv,2,0.744,0.372,0.728,0,1885116
c:1/2 - PCNT_gtub_I_047_SIR_PRJ.dv,9,0.627,0.070,0.613,0,1885117
c:1/2 - PCNT_gtub_I_050_SIR_PRJ.dv,3,0.867,0.289,0.848,0,1885118
c:1/2 - siCTRL_PCNT_NEDD1_20100507_Fri-1628_0_SIR_PRJ.dv,3,0.433,0.144,0.421,0,1885119
c:1/2 - siCTRL_PCNT_NEDD1_20100507_Fri-1637_0_SIR_PRJ.dv,2,0.554,0.277,0.539,0,1885120
c:1/2 - siCTRL_PCNT_NEDD1_20100507_Fri-1643_0_SIR_PRJ.dv,2,0.888,0.444,0.864,0,1885121
c:1/2 - siCTRL_PCNT_NEDD1_20100507_Fri-1702_0_SIR_PRJ.dv,8,0.786,0.098,0.764,0,1885122
c:1/2 - siCTRL_PCNT_NEDD1_20100507_Fri-1725_0_SIR_PRJ.dv,3,0.552,0.184,0.537,0,1885123
c:1/2 - siCTRL_PCNT_NEDD1_20100507_Fri-1732_0_SIR_PRJ.dv,3,0.497,0.166,0.484,0,1885124
c:1/2 - siCTRL_PCNT_NEDD1_20100507_Fri-1737_0_SIR_PRJ.dv,2,0.648,0.324,0.630,0,1885125
c:1/2 - siCTRL_PCNT_NEDD1_20100507_Fri-1743_0_SIR_PRJ.dv,4,0.547,0.137,0.533,0,1885126
c:1/2 - siCTRL_PCNT_NEDD1_20100507_Fri-1747_0_SIR_PRJ.dv,3,0.387,0.129,0.377,0,1885127
c:1/2 - PCNTab_N20_ctrl_20110617_Fri-1120_0_SIR_PRJ.dv,4,0.434,0.109,0.423,0,1885128
c:1/2 - PCNTab_N20_ctrl_20110617_Fri-1129_0_SIR_PRJ.dv,5,0.712,0.142,0.693,0,1885129
c:1/2 - PCNTab_N20_ctrl_20110617_Fri-1136_0_SIR_PRJ.dv,3,0.467,0.156,0.455,0,1885130
c:1/2 - PCNTab_N20_ctrl_20110617_Fri-1139_0_SIR_PRJ.dv,8,0.676,0.084,0.658,0,1885131
c:1/2 - PCNTab_N20_ctrl_20110617_Fri-1146_0_SIR_PRJ.dv,5,0.618,0.124,0.601,0,1885132
c:1/2 - PCNTab_N20_ctrl_20110617_Fri-1242_0_SIR_PRJ.dv,2,0.381,0.191,0.371,0,1885133
c:1/2 - PCNTab_N20_ctrl_20110617_Fri-1256_0_SIR_PRJ.dv,2,0.499,0.249,0.485,0,1885134
c:1/2 - PCNTab_N20_ctrl_20110617_Fri-1259_0_SIR_PRJ.dv,5,0.732,0.146,0.713,0,1885135
c:1/2 - PCNTab_N20_ctrl_20110617_Fri-1307_0_SIR_PRJ.dv,8,0.662,0.083,0.644,0,1885136
c:1/2 - PCNTab_N20_ctrl_20110617_Fri-1311_0_SIR_PRJ.dv,3,0.555,0.185,0.540,0,1885137
c:1/2 - PCNTab_N20_ctrl_20110617_Fri-1314_0_SIR_PRJ.dv,4,0.566,0.142,0.551,0,1885138
c:1/2 - PCNTab_N20_ctrl_20110617_Fri-1319_0_SIR_PRJ.dv,5,0.409,0.082,0.398,0,1885139
c:1/2 - PCNTab_N20_ctrl_20110617_Fri-1324_0_SIR_PRJ.dv,2,0.635,0.318,0.618,0,1885140
c:1/2 - 141_gtub_001_SIR_PRJ.dv,5,0.409,0.082,0.400,0,1885141
c:1/2 - 141_gtub_007_SIR_PRJ.dv,3,0.314,0.105,0.307,0,1885142
c:1/2 - 141_gtub_008_SIR_PRJ.dv,1,0.245,0.245,0.240,0,1885143
c:1/2 - 141_gtub_012_SIR_PRJ.dv,6,0.353,0.059,0.345,0,1885144
c:1/2 - 141_gtub_013_SIR_PRJ.dv,1,0.412,0.412,0.403,0,1885145
c:1/2 - 141_gtub_014_SIR_PRJ.dv,6,0.429,0.072,0.420,0,1885146
c:1/2 - 141_gtub_016_SIR_PRJ.dv,3,0.282,0.094,0.276,0,1885147
c:1/2 - 141_gtub_017_SIR_PRJ.dv,3,0.364,0.121,0.356,0,1885148
c:1/2 - 141_gtub_018_SIR_PRJ.dv,2,0.379,0.190,0.371,0,1885149
c:1/2 - 141_gtub_019_SIR_PRJ.dv,4,0.456,0.114,0.446,0,1885150
c:1/2 - 141_gtub_023_SIR_PRJ.dv,6,0.374,0.062,0.366,0,1885151
c:1/2 - 141_gtub_024_SIR_PRJ.dv,5,0.232,0.046,0.227,0,1885152
c:1/2 - 141_gtub_026_SIR_PRJ.dv,3,0.509,0.170,0.497,0,1885153
c:1/2 - 141_gtub_027_SIR_PRJ.dv,2,0.357,0.179,0.349,0,1885154
c:1/2 - 141_gtub_028_SIR_PRJ.dv,4,0.454,0.114,0.444,0,1885155
c:1/2 - 141_gtub_032_SIR_PRJ.dv,7,0.501,0.072,0.490,0,1885156
c:1/2 - 141_gtub_033_SIR_PRJ.dv,6,0.504,0.084,0.493,0,1885157
c:1/2 - gtub_NEDD1141_I_001_SIR_PRJ.dv,1,0.343,0.343,0.336,0,1885158
c:1/2 - gtub_NEDD1141_I_002_SIR_PRJ.dv,1,0.465,0.465,0.455,0,1885159
c:1/2 - gtub_NEDD1141_I_003_SIR_PRJ.dv,2,0.615,0.307,0.601,0,1885160
c:1/2 - gtub_NEDD1141_I_005_SIR_PRJ.dv,1,0.513,0.513,0.502,0,1885161
c:1/2 - gtub_NEDD1141_I_008_SIR_PRJ.dv,1,0.412,0.412,0.403,0,1885162
c:1/2 - gtub_NEDD1141_I_009_SIR_PRJ.dv,2,0.428,0.214,0.418,0,1885163
c:1/2 - gtub_NEDD1141_I_010_SIR_PRJ.dv,2,0.449,0.225,0.439,0,1885164
c:1/2 - gtub_NEDD1141_I_011_SIR_PRJ.dv,2,0.403,0.201,0.394,0,1885165
c:1/2 - gtub_NEDD1141_I_014_SIR_PRJ.dv,2,0.415,0.208,0.406,0,1885166
c:1/2 - gtub_NEDD1141_I_015_SIR_PRJ.dv,3,0.396,0.132,0.388,0,1885167
c:1/2 - gtub_NEDD1141_I_016_SIR_PRJ.dv,1,0.488,0.488,0.478,0,1885168
c:1/2 - gtub_NEDD1141_I_017_SIR_PRJ.dv,1,0.499,0.499,0.488,0,1885169
c:1/2 - gtub_NEDD1141_I_020_SIR_PRJ.dv,2,0.318,0.159,0.311,0,1885170
c:1/2 - gtub_NEDD1141_I_021_SIR_PRJ.dv,2,0.451,0.225,0.441,0,1885171
c:1/2 - gtub_NEDD1141_I_023_SIR_PRJ.dv,2,0.360,0.180,0.352,0,1885172
c:1/2 - gtub_NEDD1141_I_024_SIR_PRJ.dv,1,0.530,0.530,0.519,0,1885173
c:1/2 - gtub_NEDD1141_I_025_SIR_PRJ.dv,2,0.403,0.201,0.394,0,1885174
c:1/2 - gtub_NEDD1141_I_026_SIR_PRJ.dv,2,0.342,0.171,0.334,0,1885175
c:1/2 - gtub_NEDD1141_I_028_SIR_PRJ.dv,1,0.510,0.510,0.499,0,1885176
c:1/2 - gtub_NEDD1141_I_030_SIR_PRJ.dv,3,0.601,0.200,0.587,0,1885177
c:1/2 - gtub_PCNT_I_002_SIR_PRJ.dv,2,0.343,0.172,0.336,0,1885178
c:1/2 - gtub_PCNT_I_004_SIR_PRJ.dv,2,0.371,0.186,0.363,0,1885179
c:1/2 - gtub_PCNT_I_005_SIR_PRJ.dv,3,0.498,0.166,0.487,0,1885180
c:1/2 - gtub_PCNT_I_008_SIR_PRJ.dv,1,0.473,0.473,0.462,0,1885181
c:1/2 - gtub_PCNT_I_012_SIR_PRJ.dv,2,0.251,0.126,0.246,0,1885182
c:1/2 - gtub_PCNT_I_013_SIR_PRJ.dv,3,0.420,0.140,0.410,0,1885183
c:1/2 - gtub_PCNT_I_014_SIR_PRJ.dv,2,0.420,0.210,0.410,0,1885184
c:1/2 - gtub_PCNT_I_015_SIR_PRJ.dv,2,0.290,0.145,0.284,0,1885185
c:1/2 - gtub_PCNT_I_016_SIR_PRJ.dv,1,0.443,0.443,0.433,0,1885186
c:1/2 - gtub_PCNT_I_017_SIR_PRJ.dv,1,0.406,0.406,0.397,0,1885187
c:1/2 - gtub_PCNT_I_018_SIR_PRJ.dv,2,0.488,0.244,0.478,0,1885188
c:1/2 - gtub_PCNT_I_021_SIR_PRJ.dv,2,0.440,0.220,0.430,0,1885189
c:1/2 - gtub_PCNT_I_022_SIR_PRJ.dv,2,0.364,0.182,0.356,0,1885190
c:1/2 - gtub_PCNT_I_024_SIR_PRJ.dv,1,0.546,0.546,0.534,0,1885191
c:1/2 - gtub_PCNT_I_027_SIR_PRJ.dv,2,0.396,0.198,0.388,0,1885192
c:1/2 - gtub_PCNT_I_028_SIR_PRJ.dv,4,0.257,0.064,0.252,0,1885193
c:1/2 - gtub_PCNT_I_032_SIR_PRJ.dv,2,0.301,0.151,0.294,0,1885194
c:1/2 - gtub_PCNT_I_033_SIR_PRJ.dv,2,0.398,0.199,0.389,0,1885195
c:1/2 - gtub_PCNT_I_034_SIR_PRJ.dv,1,0.471,0.471,0.461,0,1885196
c:1/2 - gtub_PCNT_I_040_SIR_PRJ.dv,2,0.382,0.191,0.374,0,1885197
c:1/2 - PCNT_gtub_I_003_SIR_PRJ.dv,3,0.569,0.190,0.557,0,1885198
c:1/2 - PCNT_gtub_I_004_SIR_PRJ.dv,7,0.646,0.092,0.632,0,1885199
c:1/2 - PCNT_gtub_I_005_SIR_PRJ.dv,3,0.545,0.182,0.533,0,1885200
c:1/2 - PCNT_gtub_I_007_SIR_PRJ.dv,8,0.571,0.071,0.558,0,1885201
c:1/2 - PCNT_gtub_I_010_SIR_PRJ.dv,4,0.585,0.146,0.572,0,1885202
c:1/2 - PCNT_gtub_I_011_SIR_PRJ.dv,2,0.599,0.300,0.586,0,1885203
c:1/2 - PCNT_gtub_I_015_SIR_PRJ.dv,4,0.604,0.151,0.591,0,1885204
c:1/2 - PCNT_gtub_I_017_SIR_PRJ.dv,5,0.488,0.098,0.478,0,1885205
c:1/2 - PCNT_gtub_I_018_SIR_PRJ.dv,2,0.473,0.236,0.462,0,1885206
c:1/2 - PCNT_gtub_I_019_SIR_PRJ.dv,7,0.672,0.096,0.658,0,1885207
c:1/2 - PCNT_gtub_I_020_SIR_PRJ.dv,3,0.560,0.187,0.548,0,1885208
c:1/2 - PCNT_gtub_I_023_SIR_PRJ.dv,3,0.515,0.172,0.504,0,1885209
c:1/2 - PCNT_gtub_I_024_SIR_PRJ.dv,9,1.570,0.174,1.535,0,1885210
c:1/2 - PCNT_gtub_I_025_SIR_PRJ.dv,4,0.504,0.126,0.493,0,1885211
c:1/2 - PCNT_gtub_I_031_SIR_PRJ.dv,2,0.738,0.369,0.722,0,1885212
c:1/2 - PCNT_gtub_I_032_SIR_PRJ.dv,2,0.663,0.332,0.648,0,1885213
c:1/2 - PCNT_gtub_I_035_SIR_PRJ.dv,4,0.643,0.161,0.629,0,1885214
c:1/2 - PCNT_gtub_I_039_SIR_PRJ.dv,3,0.348,0.116,0.340,0,1885215
c:1/2 - PCNT_gtub_I_041_SIR_PRJ.dv,4,0.568,0.142,0.555,0,1885216
c:1/2 - PCNT_gtub_I_042_SIR_PRJ.dv,2,0.367,0.183,0.359,0,1885217
c:1/2 - PCNT_gtub_I_044_SIR_PRJ.dv,2,0.744,0.372,0.728,0,1885218
c:1/2 - PCNT_gtub_I_047_SIR_PRJ.dv,9,0.627,0.070,0.613,0,1885219
c:1/2 - PCNT_gtub_I_050_SIR_PRJ.dv,3,0.867,0.289,0.848,0,1885220
